year,Decision Intelligence,Artificial Intelligence,Machine Learning,Reinforcement Learning,Decision Making,Deep Learning,Digital Twin,Explainable Ai,Deep Reinforcement Learning,Sustainability
2017,3,0,0,0,1,0,0,0,0,0
2018,0,0,0,0,1,0,0,0,0,0
2019,0,0,0,0,1,0,0,0,0,0
2020,1,0,0,0,0,0,0,0,0,0
2021,6,3,2,1,1,1,1,0,3,0
2022,7,1,5,3,2,0,0,0,0,0
2023,7,9,2,1,5,1,0,0,2,0
2024,7,4,2,3,1,1,0,0,2,1
2025,14,12,11,5,3,4,3,5,2,3
2026,11,9,14,9,3,6,8,6,2,5
